CDKAL1,Time,AIRG_1,Chol_1,DI_1,DI30_1,insIndex_1,Ins0_1,Ins30_1,SG_1,SI_1,AIRG_2,Chol_2,DI_2,DI30_2,insIndex_2,Ins0_2,Ins30_2,SG_2,SI_2
CC,0,4388.073762,4.093914545,9087.288325,6350.602748,0.990704761,94.67176424,1599.740219,0.012375618,7.47584909,-478.7928848,4.751555083,3755.126568,6978.693814,-9.562319654,-2.409461689,1154.393822,0.011508619,8.839429639
CC,5,4191.216829,4.108634177,8327.14826,7321.403829,-7.764721897,95.20649885,1871.351401,0.012419928,7.180158586,-1098.100203,5.005968111,2208.925231,7899.460913,-14.93972099,-7.693768906,1400.925023,0.011521588,8.497271403
CG/GG,0,6336.449774,3.924375541,25718.17112,3275.186387,26.29668333,52.69217553,660.5515917,0.023730024,6.272569138,5481.437159,3.842451863,27560.72973,3429.267975,22.32565426,30.71377171,443.9348471,0.024664114,7.904971686
CG/GG,5,5747.202607,3.861263638,26022.66482,3485.467088,16.22855807,48.47114402,619.9590539,0.023022616,6.835091733,5046.629895,3.78947471,28266.05414,3597.656812,16.60694601,27.4720641,410.5306037,0.024371602,8.584553687
